iauname shortname dataname ra_250 dec_250 n_lens z_lens z_lens_err z_source e_z_source f250 e250 f350 e350 f500 e500  f870 e870
1HERMES_S250_J045057.5-531654  ADFS01   ADFS01   04:50:57.62   -53:16:54.07    0 -99 -99 2.74   0.5    138.   6.  114.   6.   73.   6.    10.414816275979202  0.44108827463223177
1HERMES_S250_J045026.5-524127  ADFS02   ADFS02   04:50:27.14   -52:41:25.66    0 -99 -99 3.19   0.5     88.   6.   81.   6.   50.   6.    10.391557401524938  0.42095927726533222
1HERMES_S250_J044946.9-525424  ADFS03   ADFS03   04:49:46.63   -52:54:26.85    0 -99 -99 3.15   0.5    115.   6.   61.   6.   24.   6.    13.391657931964415  0.49301798534301161
1HERMES_S250_J044103.8-531240  ADFS04   ADFS04   04:41:03.43   -53:12:40.71    0 -99 -99 2.72   0.5     96.   6.   86.   6.   57.   6.    14.935156487914037  0.32775375592428568
1HERMES_S250_J043619.3-552425  ADFS05   ADFS05   04:36:19.36   -55:24:26.16    0 -99 -99 3.04   0.5    109.6 6.1  102.4 5.5   86.7  5.4   15.292091129064396  0.3698541506990583
1HERMES_S250_J043340.5-540337  ADFS06   ADFS06   04:33:40.54   -54:03:37.69    0 -99 -99 4.18   0.5     76.   6.   90.   6.   72.   6.    17.944974434277359  0.49774865080760283
1HERMES_S250_J044153.9-540350  ADFS07   ADFS07   04:41:53.88   -54:03:51.83    0 -99 -99 3.81   0.5     79.7 6.0  103.0 5.5   92.7 5.9    32.36277898459938  0.63817154441364887
1HERMES_S250_J043829.7-541831  ADFS_M0  ADFS_M0  04:38:30.66   -54:18:24.98    0 -99 -99 2.5    0.5     57    6.   78.   5.   75.   6.    20.59058321868547  0.47795550641749074
1HERMES_S250_J032752.0-290908  CDFS_M0  CDFS_M0  03:27:52.03   -29:09:06.75    0 -99 -99 2.5    0.5     28.   7.   84.   6.   85.   6.    30.072635795434135  1.0685578653449517
1HERMES_S250_J033210.8-270535  CDFS_M1  CDFS_M1  03:32:10.69   -27:05:33.76    0 -99 -99 2.5    0.5     73.   6.   86.   6.   85.   6.    20.788350713797172  1.1816850224428919
1HERMES_S250_J100144.1+025712  COS01-1  COS01    10:01:44.36   +02:57:08.62    0 -99 -99 3.09   0.5     91.   6.  100.   6.   74.   6.   12.821231239875528  0.39470739222401902
1HERMES_S250_J100056.6+022014  COS02    COS02    10:00:57.06   +02:20:10.30    0 -99 -99 3.43   0.5     71.   6.   64.   6.   41.   6.   10.366131666768228  0.51007127261046781
1HERMES_S250_J033317.9-280907  ECDFS02  ECDFS02  03:33:17.93   -28:09:04.66    0 -99 -99 2.56   0.5     96.   6.   90.   6.   63.   6.    14.129102505488122  0.2474815574385143
1HERMES_S250_J003823.6-433707  EL-S01   ElaisS1   00:38:23.69   -43:37:05.63   0 -99 -99 2.5    0.5    114.   6.  101.   6.   76.   6.   17.203289142479946  0.44080437553551555
1HERMES_S250_J022016.5-060143  XMM01    XMM01    02:20:16.69   -06:01:44.4     0 -99 -99 2.3088 0.0015 180.3 6.7  192.1 7.7  131.6  6.6  25.087412289341952  0.50676054167244655
1HERMES_S250_J022201.6-033340  XMM02    XMM02    02:22:01.576  -03:33:40.60    0 -99 -99 2.179  0.001  106.9 6.7  108.0 7.8   81.3  7.2  11.573051578130842  0.56296388992840163
1HERMES_S250_J022547.8-041750  XMM03    XMM03    02:25:48.21   -04:17:51.1     0 -99 -99 2.985  0.001  105.7 6.7  119.4 7.8   91.6  6.6  14.725767911398872  0.34773881414962021
1HERMES_S250_J021853.1-063325  XMM04    XMM04    02:18:53.10   -06:33:23.7     0 -99 -99 2.74   0.5     89.   6.   83.   6.   56.   6.   7.2468284065927282  0.4434705570999764
1HERMES_S250_J023006.0-034152  XMM05    XMM05    02:30:05.98   -03:41:52.7     0 -99 -99 2.92   0.5    102.3 6.7  110.4 7.8   81.1  6.7  16.335539059514048  0.3694939392940676
1HERMES_S250_J021830.5-053124  XMM06    XMM06    02:18:30.74   -05:31:30.8     0 -99 -99 3.39   0.01    91.9 6.7  122.4 7.8  113.1  6.7  62.064004171241585  0.57278472196107488
# XXX                          XMM09    XMM09    02:16:31.85   -05:53:22.2     0 -99 -99 3.07   0.5     98.   6.   98.   6.   78.   6.   
1HERMES_S250_J022250.5-032410  XMM101   XMM101   02:22:50.83   -03:24:13.81    0 -99 -99 2.55   0.5     97.   6.   82.   6.   62.   6.    8.7650849762065519  0.24121146737391258
1HERMES_S250_J021942.7-052436  XMM102   XMM102   02:19:42.91   -05:24:32.54    0 -99 -99 3.87   0.5     85.   6.   79.   6.   67.   6.    14.213182858664037  0.61355495080450262
1HERMES_S250_J021918.4-031051  XMM108   XMM108   02:19:18.40   -03:10:51.30    0 -99 -99 3.46   0.5     90.6 6.7  103.6 7.8   85.8  6.6   29.157106293151266  0.58145451703011442
1HERMES_S250_J022944.7-034110  XMM109   XMM109   02:29:44.79   -03:41:10.17    0 -99 -99 3.20   0.5     90.   6.  100.   6.   75.   6.    23.128226578628716  0.40839122375250425
1HERMES_S250_J021841.5-035002  XMM110   XMM110   02:18:41.55   -03:50:01.90    0 -99 -99 2.63   0.5    128.   6.  112.   6.   73.   6.    10.127152908562827  0.42807039269772812
1HERMES_S250_J022021.7-015328  XMM115   XMM115   02:20:21.61   -01:53:29.12    0 -99 -99 3.05   0.5    143.9 6.8  136.6 8.5   93.5 10.8   17.608188663379213  0.48934626465480324
1HERMES_S250_J022029.2-064845  XMM119   XMM119   02:20:29.14   -06:48:45.89    0 -99 -99 2.67   0.5    120.3 6.7  114.9 7.8   83.6  6.9   14.458469908454981  0.36745738660839561
1HERMES_S250_J022205.4-070728  XMM124   XMM124   02:22:05.54   -07:07:27.20    0 -99 -99 2.71   0.5    137.   6.  108.   6    57.   6.    2.7533472907678975  0.14400909767380909
1HERMES_S250_J022135.1-062617  XMM16    XMM16    02:21:35.22   -06:26:16.97    0 -99 -99 3.66   0.5    120.7 6.7  131.9 8.0  110.1  6.7  18.578847190842964  0.40632850259862136
